51.36.101.75    - [27-Aug-2020 00:01:02 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1
69.191.249.211  - [27-Aug-2020 02:17:42 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
44.234.153.67   - [27-Aug-2020 02:29:45 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36
2.90.3.219      - [27-Aug-2020 02:41:10 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
2.90.3.219      - [27-Aug-2020 02:42:10 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
2.88.65.38      - [27-Aug-2020 02:46:06 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 [http://www.sama.gov.sa/ar-sa/Finance/Pages/FinancingLicencedEntities.aspx]
2.88.65.38      - [27-Aug-2020 02:46:08 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.88.65.38      - [27-Aug-2020 02:46:16 Asia/Riyadh] "GET /ar/career-2/ :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.88.65.38      - [27-Aug-2020 02:47:11 Asia/Riyadh] "GET /ar/contact-2/ :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.88.65.38      - [27-Aug-2020 02:48:24 Asia/Riyadh] "GET /ar/career-2/ :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.88.65.38      - [27-Aug-2020 02:48:31 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
5.41.69.20      - [27-Aug-2020 02:49:59 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
5.41.69.20      - [27-Aug-2020 02:50:36 Asia/Riyadh] "GET /partner-link/ :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
5.41.69.20      - [27-Aug-2020 02:50:41 Asia/Riyadh] "GET /partner-link/ :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
37.105.216.245  - [27-Aug-2020 03:05:20 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15
37.105.216.245  - [27-Aug-2020 03:18:32 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15
37.105.216.245  - [27-Aug-2020 03:19:23 Asia/Riyadh] "GET /ar/products-2/ :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15
39.101.150.29   - [27-Aug-2020 03:23:39 Asia/Riyadh] "GET /data/admin/allowurl.txt :443" 404 - Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
39.101.150.29   - [27-Aug-2020 03:23:46 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0
176.224.51.125  - [27-Aug-2020 03:27:26 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Linux; Android 10; SM-A920F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36
95.185.38.183   - [27-Aug-2020 03:33:02 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Linux; Android 10; HMA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
69.191.249.214  - [27-Aug-2020 03:33:47 Asia/Riyadh] "GET /news/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
69.191.249.218  - [27-Aug-2020 04:16:33 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
104.248.165.77  - [27-Aug-2020 04:48:39 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1
207.46.13.91    - [27-Aug-2020 04:49:25 Asia/Riyadh] "GET /ar/contact-2/ :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.171   - [27-Aug-2020 04:52:00 Asia/Riyadh] "GET /sitemap_index.xml :443" 404 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.171   - [27-Aug-2020 04:52:01 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.42    - [27-Aug-2020 04:52:49 Asia/Riyadh] "GET /atom.xml :443" 404 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.42    - [27-Aug-2020 04:52:53 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.41    - [27-Aug-2020 04:52:55 Asia/Riyadh] "GET /sitemap.xml.gz :443" 404 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.41    - [27-Aug-2020 04:53:02 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
207.46.13.41    - [27-Aug-2020 04:53:04 Asia/Riyadh] "GET /sitemap-posttypes-products.xml :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
40.77.167.42    - [27-Aug-2020 04:56:38 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
95.187.6.26     - [27-Aug-2020 04:57:21 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362
95.187.6.26     - [27-Aug-2020 04:57:27 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362
64.227.28.185   - [27-Aug-2020 05:02:03 Asia/Riyadh] "GET / :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)
64.227.28.185   - [27-Aug-2020 05:02:23 Asia/Riyadh] "GET / :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:24 Asia/Riyadh] "GET /whistleblower/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:25 Asia/Riyadh] "GET /tel:966118029400 :443" 404 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:25 Asia/Riyadh] "GET /board-of-directors-report/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:28 Asia/Riyadh] "GET /financial-statements/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:32 Asia/Riyadh] "GET /our-business/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:32 Asia/Riyadh] "GET /contact/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:34 Asia/Riyadh] "GET /news/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:36 Asia/Riyadh] "GET /partners/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:36 Asia/Riyadh] "GET /products/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:38 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:43 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:44 Asia/Riyadh] "GET /partner-link/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:48 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
64.227.28.185   - [27-Aug-2020 05:02:49 Asia/Riyadh] "GET /faq/ :443" 200 - Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) [https://www.srco.com.sa]
207.46.13.171   - [27-Aug-2020 05:18:44 Asia/Riyadh] "GET /cdn-cgi/l/email-protection :443" 404 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
69.191.249.214  - [27-Aug-2020 05:33:08 Asia/Riyadh] "GET /news/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
66.249.79.22    - [27-Aug-2020 05:50:54 Asia/Riyadh] "GET /sitemap-posttypes-page.xml :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.79.22    - [27-Aug-2020 06:01:45 Asia/Riyadh] "GET /faq/ :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.79.22    - [27-Aug-2020 06:02:59 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.79.24    - [27-Aug-2020 06:04:16 Asia/Riyadh] "GET /board-of-directors-report/ :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.79.24    - [27-Aug-2020 06:05:38 Asia/Riyadh] "GET /financial-statements/ :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.68.62    - [27-Aug-2020 06:06:16 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
207.46.13.171   - [27-Aug-2020 06:18:57 Asia/Riyadh] "GET /cdn-cgi/l/email-protection :443" 404 - Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
69.191.249.218  - [27-Aug-2020 06:19:39 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
95.187.101.184  - [27-Aug-2020 06:21:00 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
95.187.101.184  - [27-Aug-2020 06:21:18 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
2.91.31.237     - [27-Aug-2020 06:22:00 Asia/Riyadh] "GET / :443" 200 - Mozilla/4.0 (compatible; ms-office)
2.91.31.237     - [27-Aug-2020 06:22:03 Asia/Riyadh] "GET / :443" 200 - Mozilla/4.0 (compatible; ms-office)
2.91.31.237     - [27-Aug-2020 06:22:10 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:22:21 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:23:12 Asia/Riyadh] "GET /career/ؤر :443" 404 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:23:13 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:23:18 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:24:02 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
2.91.31.237     - [27-Aug-2020 06:24:36 Asia/Riyadh] "GET /ar/career-2/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
77.88.5.242     - [27-Aug-2020 06:26:55 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
37.126.35.151   - [27-Aug-2020 06:29:30 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.91.31.237     - [27-Aug-2020 06:29:41 Asia/Riyadh] "GET /career/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
37.126.35.151   - [27-Aug-2020 06:29:42 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
37.126.35.151   - [27-Aug-2020 06:30:04 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
2.91.31.237     - [27-Aug-2020 06:30:16 Asia/Riyadh] "GET /career/viewopenpositions :443" 404 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
2.91.31.237     - [27-Aug-2020 06:30:18 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041
66.249.79.26    - [27-Aug-2020 06:30:38 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
17.58.99.102    - [27-Aug-2020 06:40:08 Asia/Riyadh] "GET /news/ :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)
17.58.99.102    - [27-Aug-2020 06:41:40 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)
66.249.79.26    - [27-Aug-2020 06:44:29 Asia/Riyadh] "GET /faq/ :443" 200 - Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
77.88.5.242     - [27-Aug-2020 06:54:36 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
184.147.100.94  - [27-Aug-2020 07:17:02 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; JuziBrowser)
184.147.100.94  - [27-Aug-2020 07:17:10 Asia/Riyadh] "GET /contact/ :443" 200 - Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; JuziBrowser) [http://srco.com.sa]
94.98.54.24     - [27-Aug-2020 07:17:14 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 Edg/84.0.522.63
69.191.249.206  - [27-Aug-2020 07:34:03 Asia/Riyadh] "GET /news/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
77.88.5.242     - [27-Aug-2020 07:46:45 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
77.88.5.242     - [27-Aug-2020 07:47:11 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
52.15.102.135   - [27-Aug-2020 07:48:54 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36
52.15.102.135   - [27-Aug-2020 07:49:57 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36
114.119.162.224 - [27-Aug-2020 07:57:18 Asia/Riyadh] "GET /whistleblower/faqs/ :443" 200 - Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+http://aspiegel.com/petalbot)
51.36.19.33     - [27-Aug-2020 08:15:26 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Linux; Android 10; LYA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
114.119.164.196 - [27-Aug-2020 08:16:03 Asia/Riyadh] "GET /ar/أخبار/news-ar/news1/ :443" 200 - Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+http://aspiegel.com/petalbot)
69.191.249.219  - [27-Aug-2020 08:23:02 Asia/Riyadh] "GET /about-src/ :443" 200 - Mozilla/5.0 (X11; Linux x86_64; BLP_bbot/0.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359 Safari/537.36
51.235.24.204   - [27-Aug-2020 08:37:58 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0
77.88.5.242     - [27-Aug-2020 08:38:10 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
77.88.5.242     - [27-Aug-2020 08:38:21 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
93.168.7.90     - [27-Aug-2020 08:45:55 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1
114.119.162.250 - [27-Aug-2020 08:47:00 Asia/Riyadh] "GET /news/news/home-loans-become-more-accessible-for-saudi-house-hunters-src-signs-partnership-agreement-with-ncb-to-acquire-mortgage-portfolio/ :443" 200 - Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+http://aspiegel.com/petalbot)
199.59.150.181  - [27-Aug-2020 09:08:02 Asia/Riyadh] "GET / :443" 200 - Twitterbot/1.0
78.95.101.106   - [27-Aug-2020 09:08:31 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
78.95.101.106   - [27-Aug-2020 09:08:40 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/121.0.326606761 Mobile/15E148 Safari/604.1
70.39.129.104   - [27-Aug-2020 09:08:56 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
91.229.33.101   - [27-Aug-2020 09:09:20 Asia/Riyadh] "GET / :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
91.229.33.101   - [27-Aug-2020 09:09:25 Asia/Riyadh] "GET /ar/ :443" 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36
